Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
13997,cluster_3,cluster_4,cluster_1,0.11182406,0.09511696,0.092574395,0.15254934132099152,2.930070400238037
14027,cluster_3,cluster_1,cluster_5,0.112779334,0.09654608,0.07259476,0.15254934132099152,2.930070400238037
14038,cluster_12,cluster_13,cluster_1,0.10194991,0.07414833,0.07279576,0.15254934132099152,2.930070400238037
14061,cluster_1,cluster_2,cluster_3,0.088727735,0.08058736,0.079533406,0.15254934132099152,2.930070400238037
14111,cluster_2,cluster_1,cluster_11,0.18436873,0.11624632,0.07687211,0.15254934132099152,2.930070400238037
14146,cluster_2,cluster_1,cluster_14,0.08414528,0.081481874,0.07213944,0.15254934132099152,2.930070400238037
14156,cluster_13,cluster_8,cluster_4,0.09052429,0.087169915,0.08041933,0.15254934132099152,2.930070400238037
1419,cluster_1,cluster_4,cluster_8,0.09801791,0.09654607,0.09615711,0.15254934132099152,2.930070400238037
14228,cluster_3,cluster_4,cluster_8,0.113414004,0.10753768,0.09849855,0.15254934132099152,2.930070400238037
14242,cluster_8,cluster_3,cluster_1,0.11466752,0.09584646,0.09366247,0.15254934132099152,2.930070400238037
14255,cluster_8,cluster_12,cluster_13,0.09873497,0.08910026,0.085677445,0.15254934132099152,2.930070400238037
14288,cluster_3,cluster_1,cluster_4,0.102458455,0.101479255,0.07879752,0.15254934132099152,2.930070400238037
14349,cluster_8,cluster_1,cluster_4,0.10501263,0.09586549,0.09012314,0.15254934132099152,2.930070400238037
14370,cluster_1,cluster_3,cluster_2,0.10718699,0.106736615,0.09091471,0.15254934132099152,2.930070400238037
14385,cluster_4,cluster_3,cluster_8,0.09181218,0.09148662,0.08043958,0.15254934132099152,2.930070400238037
1439,cluster_2,cluster_1,cluster_14,0.08830105,0.07809123,0.07447063,0.15254934132099152,2.930070400238037
14411,cluster_3,cluster_1,cluster_2,0.10289129,0.0974892,0.075548254,0.15254934132099152,2.930070400238037
14429,cluster_3,cluster_8,cluster_4,0.13341403,0.11886193,0.09506032,0.15254934132099152,2.930070400238037
14509,cluster_13,cluster_12,cluster_17,0.14353974,0.13940123,0.084489495,0.15254934132099152,2.930070400238037
14539,cluster_1,cluster_4,cluster_17,0.07414362,0.07005712,0.06273101,0.15254934132099152,2.930070400238037
1474,cluster_8,cluster_3,cluster_1,0.11356945,0.094240494,0.09320206,0.15254934132099152,2.930070400238037
14759,cluster_17,cluster_2,cluster_1,0.076066755,0.07496367,0.0702261,0.15254934132099152,2.930070400238037
14865,cluster_4,cluster_2,cluster_1,0.105961375,0.100298196,0.08623457,0.15254934132099152,2.930070400238037
14918,cluster_12,cluster_13,cluster_7,0.15195355,0.12217245,0.082055084,0.15254934132099152,2.930070400238037
14928,cluster_13,cluster_12,cluster_17,0.29650214,0.2030939,0.09222292,0.15254934132099152,2.930070400238037
15475,cluster_3,cluster_4,cluster_1,0.09987733,0.095479235,0.09223068,0.15254934132099152,2.930070400238037
15821,cluster_12,cluster_13,cluster_17,0.123934634,0.11743602,0.09887841,0.15254934132099152,2.930070400238037
1604,cluster_17,cluster_2,cluster_8,0.109782174,0.08699301,0.079941094,0.15254934132099152,2.930070400238037
16135,cluster_17,cluster_13,cluster_9,0.18997824,0.08693298,0.06595558,0.15254934132099152,2.930070400238037
16140,cluster_2,cluster_1,cluster_4,0.11534398,0.09932718,0.09931699,0.15254934132099152,2.930070400238037
16231,cluster_8,cluster_4,cluster_3,0.113250054,0.10043534,0.09434528,0.15254934132099152,2.930070400238037
16236,cluster_1,cluster_2,cluster_4,0.090619124,0.084650084,0.07979726,0.15254934132099152,2.930070400238037
16266,cluster_4,cluster_1,cluster_3,0.08693808,0.08377635,0.08240587,0.15254934132099152,2.930070400238037
16316,cluster_3,cluster_1,cluster_8,0.13966808,0.096357614,0.088077046,0.15254934132099152,2.930070400238037
16379,cluster_12,cluster_13,cluster_1,0.12286592,0.0894679,0.06588657,0.15254934132099152,2.930070400238037
16446,cluster_3,cluster_1,cluster_5,0.16326919,0.092910506,0.08170303,0.15254934132099152,2.930070400238037
16451,cluster_3,cluster_1,cluster_5,0.14381245,0.10838648,0.08101098,0.15254934132099152,2.930070400238037
16452,cluster_3,cluster_1,cluster_5,0.11447234,0.103022255,0.07321284,0.15254934132099152,2.930070400238037
16453,cluster_3,cluster_1,cluster_4,0.1240583,0.09663989,0.086606674,0.15254934132099152,2.930070400238037
1666,cluster_1,cluster_2,cluster_9,0.14984068,0.1304395,0.10220561,0.15254934132099152,2.930070400238037
16761,cluster_7,cluster_13,cluster_14,0.578317,0.07309055,0.059527528,0.15254934132099152,2.930070400238037
16770,cluster_2,cluster_1,cluster_14,0.18110415,0.11992008,0.06615181,0.15254934132099152,2.930070400238037
16792,cluster_2,cluster_1,cluster_6,0.14561032,0.11463052,0.06647534,0.15254934132099152,2.930070400238037
16817,cluster_2,cluster_1,cluster_4,0.18566549,0.11836587,0.06150397,0.15254934132099152,2.930070400238037
16826,cluster_2,cluster_1,cluster_4,0.15309407,0.10052692,0.09294587,0.15254934132099152,2.930070400238037
16843,cluster_3,cluster_4,cluster_1,0.11454628,0.097877525,0.092346825,0.15254934132099152,2.930070400238037
16880,cluster_3,cluster_1,cluster_5,0.13042282,0.09979855,0.07531433,0.15254934132099152,2.930070400238037
17210,cluster_3,cluster_1,cluster_4,0.12481389,0.09575419,0.09376931,0.15254934132099152,2.930070400238037
17326,cluster_2,cluster_1,cluster_9,0.17420678,0.11116873,0.07672945,0.15254934132099152,2.930070400238037
1734,cluster_8,cluster_3,cluster_1,0.12431083,0.10823726,0.095851324,0.15254934132099152,2.930070400238037
17401,cluster_1,cluster_3,cluster_5,0.10697161,0.101090305,0.07766935,0.15254934132099152,2.930070400238037
17403,cluster_2,cluster_1,cluster_4,0.18050592,0.10981874,0.06854702,0.15254934132099152,2.930070400238037
17404,cluster_2,cluster_1,cluster_4,0.124074124,0.1090489,0.07336138,0.15254934132099152,2.930070400238037
17408,cluster_3,cluster_1,cluster_4,0.10692216,0.10651806,0.09191898,0.15254934132099152,2.930070400238037
17474,cluster_8,cluster_12,cluster_3,0.100459956,0.08570368,0.08263728,0.15254934132099152,2.930070400238037
